repetition,num_actions,occurrence_ratio,conflct_ratio,time_performance,makespan,total_waiting_time,total_flow_time
8,500,1,0.35,4047.835333333333,215.0,52782.0,53281.0
9,500,1,0.35,4031.729,217.0,53034.0,53533.0
10,500,1,0.35,4052.523333333333,218.0,52618.0,53117.0
1,500,1,0.36,4388.508333333333,231.0,59293.0,59792.0
2,500,1,0.36,4312.1973333333335,228.0,56691.0,57190.0
3,500,1,0.36,4354.808666666667,237.0,56719.0,57218.0
4,500,1,0.36,4283.945000000001,231.0,57552.0,58051.0
5,500,1,0.36,4210.927333333333,222.0,55546.0,56045.0
6,500,1,0.36,4166.299333333333,219.0,53568.0,54067.0
7,500,1,0.36,4274.8820000000005,233.0,56699.0,57198.0
8,500,1,0.36,4358.807333333333,238.0,57554.0,58053.0
9,500,1,0.36,4290.7,226.0,56896.0,57395.0
10,500,1,0.36,4193.128,228.0,55091.0,55590.0
1,500,1,0.37,4190.754333333333,220.0,54861.0,55360.0
2,500,1,0.37,4202.796666666666,223.0,55526.0,56025.0
3,500,1,0.37,4480.557666666667,236.0,57652.0,58151.0
4,500,1,0.37,4609.848666666667,240.0,60344.0,60843.0
5,500,1,0.37,4463.112666666667,241.0,58996.0,59495.0
6,500,1,0.37,4392.928333333333,237.0,57369.0,57868.0
7,500,1,0.37,4442.214333333333,235.0,57995.0,58494.0
8,500,1,0.37,4389.427666666667,230.0,59353.0,59852.0
9,500,1,0.37,4381.171666666666,233.0,57721.0,58220.0
10,500,1,0.37,4320.912333333333,226.0,55004.0,55503.0
1,500,1,0.38,4293.4766666666665,219.0,54155.0,54654.0
2,500,1,0.38,4515.126,233.0,57193.0,57692.0
3,500,1,0.38,4692.8893333333335,244.0,59994.0,60493.0
4,500,1,0.38,4595.250666666667,241.0,58634.0,59133.0
5,500,1,0.38,4479.776999999999,232.0,57706.0,58205.0
6,500,1,0.38,4436.549,233.0,58412.0,58911.0
7,500,1,0.38,4527.1016666666665,232.0,57814.0,58313.0
8,500,1,0.38,4461.691,233.0,57971.0,58470.0
9,500,1,0.38,4724.8476666666675,238.0,61253.0,61752.0
10,500,1,0.38,4734.425,245.0,61666.0,62165.0
1,500,1,0.39,4786.0976666666675,246.0,61124.0,61623.0
2,500,1,0.39,4492.782333333334,231.0,57294.0,57793.0
3,500,1,0.39,4792.239333333334,249.0,60490.0,60989.0
4,500,1,0.39,4339.948666666667,226.0,55785.0,56284.0
5,500,1,0.39,4730.577,244.0,61680.0,62179.0
6,500,1,0.39,4873.656,252.0,63381.0,63880.0
7,500,1,0.39,4602.274333333333,236.0,58590.0,59089.0
8,500,1,0.39,4919.419000000001,250.0,62305.0,62804.0
9,500,1,0.39,4647.316666666667,237.0,59129.0,59628.0
10,500,1,0.39,4680.683,242.0,59328.0,59827.0
1,500,1,0.4,4752.559666666667,238.0,58819.0,59318.0
2,500,1,0.4,4960.809666666667,244.0,61104.0,61603.0
3,500,1,0.4,4897.379,242.0,60005.0,60504.0
4,500,1,0.4,4676.714,236.0,58381.0,58880.0
5,500,1,0.4,5097.727333333333,256.0,63989.0,64488.0
6,500,1,0.4,4960.836333333333,254.0,60839.0,61338.0
7,500,1,0.4,4604.022333333334,233.0,58360.0,58859.0
8,500,1,0.4,4649.572666666667,240.0,56810.0,57309.0
9,500,1,0.4,5153.335,256.0,63182.0,63681.0
10,500,1,0.4,4541.680333333334,236.0,56465.0,56964.0
1,500,1,0.41,5043.623666666667,251.0,61820.0,62319.0
2,500,1,0.41,5018.652666666666,250.0,62329.0,62828.0
3,500,1,0.41,5100.267000000001,252.0,62372.0,62871.0
4,500,1,0.41,5149.9113333333335,254.0,64180.0,64679.0
5,500,1,0.41,5115.597999999999,254.0,63344.0,63843.0
6,500,1,0.41,4940.697666666667,242.0,60558.0,61057.0
7,500,1,0.41,5120.251666666667,259.0,60582.0,61081.0
8,500,1,0.41,5071.291,253.0,60961.0,61460.0
9,500,1,0.41,5012.355,249.0,61489.0,61988.0
10,500,1,0.41,4947.641666666667,239.0,59832.0,60331.0
1,500,1,0.42,5451.183333333333,268.0,65390.0,65889.0
2,500,1,0.42,5451.349,265.0,63185.0,63684.0
3,500,1,0.42,5193.406333333333,257.0,62179.0,62678.0
4,500,1,0.42,5227.883999999999,258.0,63930.0,64429.0
5,500,1,0.42,5274.561333333333,259.0,64196.0,64695.0
6,500,1,0.42,4994.715666666667,248.0,60841.0,61340.0
7,500,1,0.42,5178.297333333333,251.0,62857.0,63356.0
8,500,1,0.42,5140.681333333334,255.0,61486.0,61985.0
9,500,1,0.42,4979.002,250.0,61276.0,61775.0
10,500,1,0.42,5362.805,261.0,64183.0,64682.0
1,500,1,0.43,5301.943,259.0,64213.0,64712.0
2,500,1,0.43,5237.972333333334,254.0,62707.0,63206.0
3,500,1,0.43,5424.931666666666,260.0,65140.0,65639.0
4,500,1,0.43,5129.263666666667,247.0,60968.0,61467.0
5,500,1,0.43,5222.0109999999995,255.0,62741.0,63240.0
6,500,1,0.43,5485.725666666666,262.0,65567.0,66066.0
7,500,1,0.43,5355.991666666666,260.0,63837.0,64336.0
8,500,1,0.43,5290.242333333334,255.0,64238.0,64737.0
9,500,1,0.43,5624.399,274.0,68575.0,69074.0
10,500,1,0.43,5507.174333333333,269.0,67130.0,67629.0
1,500,1,0.44,5788.084,276.0,67902.0,68401.0
2,500,1,0.44,5689.779333333333,271.0,68228.0,68727.0
3,500,1,0.44,5318.990333333334,257.0,62422.0,62921.0
4,500,1,0.44,5559.535,264.0,66721.0,67220.0
5,500,1,0.44,5411.264,260.0,64266.0,64765.0
